INFO:root:Query: HAO | MLSO | K-Cor between 2017-04-13T22:49:50.556306 and 2017-04-14T22:49:50.556306
INFO:root:Query: NSO | GONG | Cerro Tololo between 2021-03-16T22:40:31.611609 and 2021-03-17T22:40:31.611609
INFO:root:Query: NSO | GONG | El Teide between 2010-07-18T16:17:23.029439 and 2010-07-19T16:17:23.029439
INFO:root:Query: NSO | GONG | Learmonth between 2007-06-22T23:28:19.729822 and 2007-06-23T23:28:19.729822
INFO:root:Random query failed. Trying known query: NSO | GONG | Learmonth between 2009-10-04T10:26:44.091173 and 2009-10-07T10:26:44.091173
INFO:root:Query: NSO | GONG | MERGED GONG between 2016-06-27T02:00:48.891643 and 2016-06-28T02:00:48.891643
INFO:root:Query: NSO | GONG | Mauna Loa between 2015-10-01T05:15:04.618367 and 2015-10-02T05:15:04.618367
INFO:root:Query: NSO | GONG | Udaipur between 2008-02-13T03:36:12.610445 and 2008-02-14T03:36:12.610445
INFO:root:Query: NSO | HXECLIPSE | HXECLIPSE between 1926-03-19T20:27:29.417953 and 1926-03-20T20:27:29.417953
INFO:root:Random query failed. No known query for: NSO | HXECLIPSE | HXECLIPSE
INFO:root:Query: NSO | ISOON | ISOON between 2004-07-21T04:04:55.705193 and 2004-07-22T04:04:55.705193
INFO:root:Query: NSO | IVM | IVM between 2000-04-25T00:06:46.134724 and 2000-04-26T00:06:46.134724
INFO:root:Random query failed. Trying known query: NSO | IVM | IVM between 2001-05-05T18:53:13.517481 and 2001-05-08T18:53:13.517481
INFO:root:Query: NSO | KPVT | 512-channel magnetograph between 1980-08-29T22:36:04.312067 and 1980-08-30T22:36:04.312067
INFO:root:Query: NSO | KPVT | spectromagnetograph between 2000-10-21T18:28:18.475527 and 2000-10-22T18:28:18.475527
INFO:root:Random query failed. Trying known query: NSO | KPVT | spectromagnetograph between 1996-12-21T17:58:20.509124 and 1996-12-24T17:58:20.509124
INFO:root:Query: NSO | McMath | solar fts spectrometer between 1991-12-15T18:41:28.469212 and 1991-12-16T18:41:28.469212
INFO:root:Random query failed. Trying known query: NSO | McMath | solar fts spectrometer between 1992-09-21T15:57:45.551974 and 1992-09-24T15:57:45.551974
INFO:root:Query: NSO | PTMC | PTMC between 1970-10-26T23:39:45.550686 and 1970-10-27T23:39:45.550686
INFO:root:Random query failed. Trying known query: NSO | PTMC | PTMC between 1997-11-26T06:01:49.439688 and 1997-11-29T06:01:49.439688
INFO:root:Query: NSO | SDO | HMI between 2018-05-28T09:11:04.130192 and 2018-05-29T09:11:04.130192
INFO:root:Random query failed. Trying known query: NSO | SDO | HMI between 2014-02-26T01:06:41.956454 and 2014-03-01T01:06:41.956454
INFO:root:Query: NSO | SOLIS | ISS between 2007-04-24T20:39:25.825786 and 2007-04-25T20:39:25.825786
INFO:root:Query: NSO | SOLIS | vsm between 2007-04-10T14:01:02.228191 and 2007-04-11T14:01:02.228191
INFO:root:Query: NWRA | MCCD | MEES between 1991-11-26T07:44:14.153720 and 1991-11-27T07:44:14.153720
INFO:root:Query: OBSPM | OBSPM | Meudon Spectroheliograph between 2018-08-07T15:22:52.131387 and 2018-08-08T15:22:52.131387
INFO:root:Query: OMP | OMP | CLIMSO between 2010-02-22T21:17:22.521122 and 2010-02-23T21:17:22.521122
INFO:root:Random query failed. Trying known query: OMP | OMP | CLIMSO between 2015-05-31T08:43:03.176104 and 2015-06-03T08:43:03.176104
INFO:root:Query: OVRO | OVRO | OVSA between 2019-06-27T22:17:00.186844 and 2019-06-28T22:17:00.186844
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 404 Not Found
INFO:root:Random query failed. No known query for: OVRO | OVRO | OVSA
INFO:root:Query: ROB | PROBA2 | SWAP between 2017-10-08T04:43:03.856417 and 2017-10-09T04:43:03.856417
INFO:root:Query: SAO | Hinode | XRT between 2010-03-31T07:48:12.581291 and 2010-04-01T07:48:12.581291
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 411 Length Required
INFO:root:Random query failed. No known query for: SAO | Hinode | XRT
INFO:root:Query: SDAC | EUNIS | LONGWAVE-LOBE-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-LOBE-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-SLIT-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-SLIT-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-LOBE-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-LOBE-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-SLIT-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-SLIT-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | FOXSI1 | FOXSI between 2012-11-02T00:00:00 and 2012-11-03T00:00:00
INFO:root:Query: SDAC | FOXSI2 | FOXSI between 2014-12-11T00:00:00 and 2014-12-12T00:00:00
INFO:root:Query: SDAC | FOXSI3 | FOXSI between 2018-09-07T00:00:00 and 2018-09-08T00:00:00
INFO:root:Query: SDAC | FOXSI3 | PHOENIX between 2018-09-07T00:00:00 and 2018-09-08T00:00:00
INFO:root:Query: SDAC | Hinode | EIS between 2020-06-27T14:11:08.085804 and 2020-06-28T14:11:08.085804
INFO:root:Query: SDAC | Hinode | SOT between 2018-11-14T05:29:32.373725 and 2018-11-15T05:29:32.373725
INFO:root:Query: SDAC | SDO | AIA between 2020-09-23T07:51:47.164304 and 2020-09-24T07:51:47.164304
INFO:root:Random query failed. No known query for: SDAC | SDO | AIA
INFO:root:Query: SDAC | SO | EUI between 2021-05-19T01:26:56.729119 and 2021-05-20T01:26:56.729119
INFO:root:Random query failed. Trying known query: SDAC | SO | EUI between 2021-02-08T09:44:47.649699 and 2021-02-11T09:44:47.649699
INFO:root:Query: SDAC | SOHO | CDS between 2001-09-21T20:06:33.277590 and 2001-09-22T20:06:33.277590
INFO:root:Query: SDAC | SOHO | CELIAS between 2019-07-22T14:53:29.610791 and 2019-07-23T14:53:29.610791
INFO:root:Query: SDAC | SOHO | COSTEP between 2019-03-08T22:05:35.968679 and 2019-03-09T22:05:35.968679
INFO:root:Random query failed. Trying known query: SDAC | SOHO | COSTEP between 2013-12-29T02:20:49.581187 and 2014-01-01T02:20:49.581187
INFO:root:Query: SDAC | SOHO | EIT between 1997-10-23T04:42:42.451332 and 1997-10-24T04:42:42.451332
INFO:root:Query: SDAC | SOHO | ERNE between 2006-09-08T13:00:14.982492 and 2006-09-09T13:00:14.982492
INFO:root:Query: SDAC | SOHO | GOLF between 2015-03-04T14:04:22.794178 and 2015-03-05T14:04:22.794178
INFO:root:Query: SDAC | SOHO | LASCO between 2012-07-12T17:39:58.651421 and 2012-07-13T17:39:58.651421
INFO:root:Query: SDAC | SOHO | SUMER between 2017-03-13T21:09:59.287848 and 2017-03-14T21:09:59.287848
INFO:root:Random query failed. Trying known query: SDAC | SOHO | SUMER between 1996-08-29T00:53:33.446269 and 1996-09-01T00:53:33.446269
INFO:root:Query: SDAC | SOHO | SWAN between 2013-04-15T05:52:19.448244 and 2013-04-16T05:52:19.448244
INFO:root:Query: SDAC | SOHO | UVCS between 2002-02-20T21:17:10.287305 and 2002-02-21T21:17:10.287305
INFO:root:Query: SDAC | SOHO | VIRGO between 2002-07-22T19:49:10.360153 and 2002-07-23T19:49:10.360153
INFO:root:Query: SDAC | TRACE | TRACE between 2009-12-30T16:08:53.820286 and 2009-12-31T16:08:53.820286
INFO:root:Query: SDAC | VAULT | VAULT-1999 between 1999-05-07T00:00:00 and 1999-05-08T00:00:00
INFO:root:Query: SDAC | VAULT | VAULT-2002 between 2002-06-14T00:00:00 and 2002-06-15T00:00:00
INFO:root:Query: SDAC | VAULT | VAULT-2014 between 2014-09-30T00:00:00 and 2014-10-01T00:00:00
INFO:root:Query: SFO | SFO | CFTD1 between 1997-11-19T02:53:35.539583 and 1997-11-20T02:53:35.539583
INFO:root:Random query failed. No known query for: SFO | SFO | CFTD1
INFO:root:Query: SFO | SFO | CFTD2 between 2000-05-06T10:15:07.352919 and 2000-05-07T10:15:07.352919
INFO:root:Random query failed. No known query for: SFO | SFO | CFTD2
INFO:root:Query: SHA | SOHO | MDI between 1999-10-10T08:55:37.787993 and 1999-10-11T08:55:37.787993
INFO:root:Query: SSC | STEREO_A | IMPACT between 2015-09-19T18:52:55.080797 and 2015-09-20T18:52:55.080797
INFO:root:Query: SSC | STEREO_A | PLASTIC between 2017-05-01T20:05:28.344451 and 2017-05-02T20:05:28.344451
INFO:root:Query: SSC | STEREO_A | SECCHI between 2017-05-23T03:51:58.668429 and 2017-05-24T03:51:58.668429
INFO:root:Query: SSC | STEREO_A | SWAVES between 2017-04-13T21:06:52.055637 and 2017-04-14T21:06:52.055637
INFO:root:Query: SSC | STEREO_B | IMPACT between 2007-02-04T05:56:34.227762 and 2007-02-05T05:56:34.227762
INFO:root:Query: SSC | STEREO_B | PLASTIC between 2009-10-15T18:44:52.934223 and 2009-10-16T18:44:52.934223
INFO:root:Query: SSC | STEREO_B | SECCHI between 2012-01-12T17:17:12.160602 and 2012-01-13T17:17:12.160602
INFO:root:Query: SSC | STEREO_B | SWAVES between 2017-10-06T10:44:47.685066 and 2017-10-07T10:44:47.685066
INFO:root:Random query failed. Trying known query: SSC | STEREO_B | SWAVES between 2012-07-03T12:00:41.251319 and 2012-07-06T12:00:41.251319
