INFO:root:Query: HAO | MLSO | K-Cor between 2015-06-02T17:27:17.297001 and 2015-06-03T17:27:17.297001
INFO:root:Query: NSO | SOLIS | ISS between 2019-07-09T04:22:38.762759 and 2019-07-10T04:22:38.762759
INFO:root:Random query failed. Trying known query: NSO | SOLIS | ISS between 2010-03-07T15:35:26.899226 and 2010-03-10T15:35:26.899226
INFO:root:Query: NSO | SOLIS | vsm between 2004-08-22T10:25:52.679538 and 2004-08-23T10:25:52.679538
INFO:root:Query: NWRA | MCCD | MEES between 1997-01-17T01:41:39.272041 and 1997-01-18T01:41:39.272041
INFO:root:Random query failed. Trying known query: NWRA | MCCD | MEES between 2003-02-26T07:48:00.344230 and 2003-03-01T07:48:00.344230
INFO:root:Query: OBSPM | OBSPM | Meudon Spectroheliograph between 2018-06-22T01:50:16.715199 and 2018-06-23T01:50:16.715199
INFO:root:Query: OMP | OMP | CLIMSO between 2021-01-08T19:28:56.736409 and 2021-01-09T19:28:56.736409
INFO:root:Random query failed. Trying known query: OMP | OMP | CLIMSO between 2015-05-31T08:43:03.176104 and 2015-06-03T08:43:03.176104
INFO:root:Query: OVRO | OVRO | OVSA between 2012-12-17T01:43:07.217906 and 2012-12-18T01:43:07.217906
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 404 Not Found
INFO:root:Random query failed. No known query for: OVRO | OVRO | OVSA
INFO:root:Query: ROB | PROBA2 | SWAP between 2011-09-24T10:53:51.061543 and 2011-09-25T10:53:51.061543
INFO:root:Query: SAO | Hinode | XRT between 2020-08-28T04:45:18.111896 and 2020-08-29T04:45:18.111896
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 411 Length Required
INFO:root:Random query failed. No known query for: SAO | Hinode | XRT
INFO:root:Query: SDAC | EUNIS | LONGWAVE-LOBE-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-LOBE-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-SLIT-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-SLIT-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-LOBE-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-LOBE-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-SLIT-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-SLIT-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | FOXSI1 | FOXSI between 2012-11-02T00:00:00 and 2012-11-03T00:00:00
INFO:root:Query: SDAC | FOXSI2 | FOXSI between 2014-12-11T00:00:00 and 2014-12-12T00:00:00
INFO:root:Query: SDAC | FOXSI3 | FOXSI between 2018-09-07T00:00:00 and 2018-09-08T00:00:00
INFO:root:Query: SDAC | FOXSI3 | PHOENIX between 2018-09-07T00:00:00 and 2018-09-08T00:00:00
INFO:root:Query: SDAC | Hinode | EIS between 2010-11-22T15:57:56.677684 and 2010-11-23T15:57:56.677684
INFO:root:Query: SDAC | Hinode | SOT between 2011-07-23T09:51:47.556826 and 2011-07-24T09:51:47.556826
INFO:root:Query: SDAC | SDO | AIA between 2014-04-18T19:42:06.660689 and 2014-04-19T19:42:06.660689
INFO:root:Random query failed. No known query for: SDAC | SDO | AIA
INFO:root:Query: SDAC | SO | EUI between 2020-06-17T08:12:30.983548 and 2020-06-18T08:12:30.983548
INFO:root:Query: SDAC | SOHO | CDS between 2012-02-08T17:20:33.001641 and 2012-02-09T17:20:33.001641
INFO:root:Random query failed. Trying known query: SDAC | SOHO | CDS between 2000-03-06T19:38:20.393845 and 2000-03-09T19:38:20.393845
INFO:root:Query: SDAC | SOHO | CELIAS between 1997-04-05T17:56:15.986879 and 1997-04-06T17:56:15.986879
INFO:root:Query: SDAC | SOHO | COSTEP between 2002-09-14T17:40:34.182436 and 2002-09-15T17:40:34.182436
INFO:root:Query: SDAC | SOHO | EIT between 1997-02-25T15:52:29.297987 and 1997-02-26T15:52:29.297987
INFO:root:Query: SDAC | SOHO | ERNE between 2008-06-13T07:41:31.091165 and 2008-06-14T07:41:31.091165
INFO:root:Query: SDAC | SOHO | GOLF between 2010-11-09T16:35:07.144189 and 2010-11-10T16:35:07.144189
INFO:root:Query: SDAC | SOHO | LASCO between 2020-06-16T11:57:55.656813 and 2020-06-17T11:57:55.656813
INFO:root:Query: SDAC | SOHO | SUMER between 2014-10-05T02:17:40.449670 and 2014-10-06T02:17:40.449670
INFO:root:Random query failed. Trying known query: SDAC | SOHO | SUMER between 1996-08-29T00:53:33.446269 and 1996-09-01T00:53:33.446269
INFO:root:Query: SDAC | SOHO | SWAN between 2013-02-25T22:14:38.946692 and 2013-02-26T22:14:38.946692
INFO:root:Query: SDAC | SOHO | UVCS between 1999-02-28T07:41:06.288817 and 1999-03-01T07:41:06.288817
INFO:root:Query: SDAC | SOHO | VIRGO between 2011-02-13T17:52:02.266366 and 2011-02-14T17:52:02.266366
INFO:root:Query: SDAC | TRACE | TRACE between 2009-08-20T00:30:28.691652 and 2009-08-21T00:30:28.691652
INFO:root:Query: SDAC | VAULT | VAULT-1999 between 1999-05-07T00:00:00 and 1999-05-08T00:00:00
INFO:root:Query: SDAC | VAULT | VAULT-2002 between 2002-06-14T00:00:00 and 2002-06-15T00:00:00
INFO:root:Query: SDAC | VAULT | VAULT-2014 between 2014-09-30T00:00:00 and 2014-10-01T00:00:00
INFO:root:Query: SFO | SFO | CFTD1 between 2018-10-08T22:48:14.775396 and 2018-10-09T22:48:14.775396
INFO:root:Random query failed. No known query for: SFO | SFO | CFTD1
INFO:root:Query: SFO | SFO | CFTD2 between 1997-05-24T13:26:12.833581 and 1997-05-25T13:26:12.833581
INFO:root:Random query failed. No known query for: SFO | SFO | CFTD2
INFO:root:Query: SHA | SOHO | MDI between 1999-05-26T18:45:04.621302 and 1999-05-27T18:45:04.621302
INFO:root:Query: SSC | STEREO_A | IMPACT between 2007-05-15T10:53:15.561602 and 2007-05-16T10:53:15.561602
INFO:root:Query: SSC | STEREO_A | PLASTIC between 2019-12-04T22:56:21.643519 and 2019-12-05T22:56:21.643519
INFO:root:Query: SSC | STEREO_A | SECCHI between 2009-09-23T12:12:35.522306 and 2009-09-24T12:12:35.522306
INFO:root:Query: SSC | STEREO_A | SWAVES between 2009-12-24T07:26:18.078683 and 2009-12-25T07:26:18.078683
INFO:root:Query: SSC | STEREO_B | IMPACT between 2007-05-13T20:35:03.145995 and 2007-05-14T20:35:03.145995
INFO:root:Query: SSC | STEREO_B | PLASTIC between 2018-07-05T22:12:45.119028 and 2018-07-06T22:12:45.119028
INFO:root:Query: SSC | STEREO_B | SECCHI between 2014-04-24T15:40:56.911834 and 2014-04-25T15:40:56.911834
INFO:root:Query: SSC | STEREO_B | SWAVES between 2010-03-31T19:05:27.430364 and 2010-04-01T19:05:27.430364
