INFO:root:Query: HAO | MLSO | K-Cor between 2014-04-11T02:34:43.861691 and 2014-04-12T02:34:43.861691
INFO:root:Query: NSO | GONG | Big Bear between 2015-06-25T07:14:56.285857 and 2015-06-26T07:14:56.285857
INFO:root:Query: NSO | GONG | Cerro Tololo between 2008-10-12T14:37:27.500492 and 2008-10-13T14:37:27.500492
INFO:root:Query: NSO | GONG | El Teide between 2005-04-15T20:35:04.140101 and 2005-04-16T20:35:04.140101
INFO:root:Random query failed. Trying known query: NSO | GONG | El Teide between 2009-01-12T13:21:51.127142 and 2009-01-15T13:21:51.127142
INFO:root:Query: NSO | GONG | Learmonth between 2015-04-18T01:55:12.879302 and 2015-04-19T01:55:12.879302
INFO:root:Random query failed. Trying known query: NSO | GONG | Learmonth between 2009-10-04T10:26:44.091173 and 2009-10-07T10:26:44.091173
INFO:root:Query: NSO | GONG | MERGED GONG between 2008-09-14T04:40:02.784317 and 2008-09-15T04:40:02.784317
INFO:root:Query: NSO | GONG | Mauna Loa between 2006-06-11T01:42:51.560831 and 2006-06-12T01:42:51.560831
INFO:root:Random query failed. Trying known query: NSO | GONG | Mauna Loa between 2008-05-14T23:50:47.852659 and 2008-05-17T23:50:47.852659
INFO:root:Query: NSO | GONG | Udaipur between 2008-02-13T22:38:24.379116 and 2008-02-14T22:38:24.379116
INFO:root:Query: NSO | HXECLIPSE | HXECLIPSE between 1981-11-15T19:12:41.155805 and 1981-11-16T19:12:41.155805
INFO:root:Random query failed. No known query for: NSO | HXECLIPSE | HXECLIPSE
INFO:root:Query: NSO | ISOON | ISOON between 2012-02-23T05:21:06.995308 and 2012-02-24T05:21:06.995308
INFO:root:Query: NSO | IVM | IVM between 2001-11-02T23:59:43.108859 and 2001-11-03T23:59:43.108859
INFO:root:Random query failed. Trying known query: NSO | IVM | IVM between 2001-05-05T18:53:13.517481 and 2001-05-08T18:53:13.517481
INFO:root:Query: NSO | KPVT | 512-channel magnetograph between 1984-11-12T02:00:17.110211 and 1984-11-13T02:00:17.110211
INFO:root:Query: NSO | KPVT | spectromagnetograph between 1998-02-07T20:58:37.479630 and 1998-02-08T20:58:37.479630
INFO:root:Random query failed. Trying known query: NSO | KPVT | spectromagnetograph between 1996-12-21T17:58:20.509124 and 1996-12-24T17:58:20.509124
INFO:root:Query: NSO | McMath | solar fts spectrometer between 1983-11-26T12:16:07.554979 and 1983-11-27T12:16:07.554979
INFO:root:Random query failed. Trying known query: NSO | McMath | solar fts spectrometer between 1992-09-21T15:57:45.551974 and 1992-09-24T15:57:45.551974
INFO:root:Query: NSO | PTMC | PTMC between 2001-06-20T09:43:57.389709 and 2001-06-21T09:43:57.389709
INFO:root:Random query failed. Trying known query: NSO | PTMC | PTMC between 1997-11-26T06:01:49.439688 and 1997-11-29T06:01:49.439688
INFO:root:Query: NSO | SDO | HMI between 2016-02-23T17:35:45.137504 and 2016-02-24T17:35:45.137504
INFO:root:Random query failed. Trying known query: NSO | SDO | HMI between 2014-02-26T01:06:41.956454 and 2014-03-01T01:06:41.956454
INFO:root:Query: NSO | SOLIS | ISS between 2017-11-21T03:18:50.228752 and 2017-11-22T03:18:50.228752
INFO:root:Random query failed. Trying known query: NSO | SOLIS | ISS between 2010-03-07T15:35:26.899226 and 2010-03-10T15:35:26.899226
INFO:root:Query: NSO | SOLIS | vsm between 2005-05-18T05:01:29.125326 and 2005-05-19T05:01:29.125326
INFO:root:Query: NWRA | MCCD | MEES between 1999-05-30T21:40:05.362170 and 1999-05-31T21:40:05.362170
INFO:root:Random query failed. Trying known query: NWRA | MCCD | MEES between 2003-02-26T07:48:00.344230 and 2003-03-01T07:48:00.344230
INFO:root:Query: OBSPM | OBSPM | Meudon Spectroheliograph between 2020-04-05T15:42:41.431051 and 2020-04-06T15:42:41.431051
INFO:root:Random query failed. Trying known query: OBSPM | OBSPM | Meudon Spectroheliograph between 2019-09-10T16:51:25.079639 and 2019-09-13T16:51:25.079639
INFO:root:Query: OMP | OMP | CLIMSO between 2020-01-02T15:01:19.744697 and 2020-01-03T15:01:19.744697
INFO:root:Random query failed. Trying known query: OMP | OMP | CLIMSO between 2015-05-31T08:43:03.176104 and 2015-06-03T08:43:03.176104
INFO:root:Query: OVRO | OVRO | OVSA between 2012-12-12T04:58:51.735687 and 2012-12-13T04:58:51.735687
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 404 Not Found
INFO:root:Random query failed. No known query for: OVRO | OVRO | OVSA
INFO:root:Query: ROB | PROBA2 | SWAP between 2009-12-09T06:50:28.467805 and 2009-12-10T06:50:28.467805
INFO:root:Query: SAO | Hinode | XRT between 2011-05-21T15:45:47.501402 and 2011-05-22T15:45:47.501402
WARNING:sunpy:SunpyUserWarning: VSO-C500 :soap:Server.Transport : 411 Length Required
INFO:root:Random query failed. No known query for: SAO | Hinode | XRT
INFO:root:Query: SDAC | EUNIS | LONGWAVE-LOBE-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-LOBE-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-SLIT-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | LONGWAVE-SLIT-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-LOBE-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-LOBE-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-SLIT-06 between 2006-04-12T00:00:00 and 2006-04-13T00:00:00
INFO:root:Query: SDAC | EUNIS | SHORTWAVE-SLIT-07 between 2007-11-06T00:00:00 and 2007-11-07T00:00:00
INFO:root:Query: SDAC | FOXSI1 | FOXSI between 2012-11-02T00:00:00 and 2012-11-03T00:00:00
INFO:root:Query: SDAC | FOXSI2 | FOXSI between 2014-12-11T00:00:00 and 2014-12-12T00:00:00
INFO:root:Query: SDAC | FOXSI3 | FOXSI between 2018-09-07T00:00:00 and 2018-09-08T00:00:00
INFO:root:Query: SDAC | FOXSI3 | PHOENIX between 2018-09-07T00:00:00 and 2018-09-08T00:00:00
INFO:root:Query: SDAC | Hinode | EIS between 2020-03-31T05:47:39.844211 and 2020-04-01T05:47:39.844211
INFO:root:Query: SDAC | Hinode | SOT between 2020-08-22T23:30:28.996940 and 2020-08-23T23:30:28.996940
INFO:root:Query: SDAC | SDO | AIA between 2019-11-28T04:43:42.358376 and 2019-11-29T04:43:42.358376
INFO:root:Random query failed. No known query for: SDAC | SDO | AIA
INFO:root:Query: SDAC | SO | EUI between 2020-10-07T14:22:11.684234 and 2020-10-08T14:22:11.684234
INFO:root:Random query failed. Trying known query: SDAC | SO | EUI between 2021-02-08T09:44:47.649699 and 2021-02-11T09:44:47.649699
INFO:root:Query: SDAC | SOHO | CDS between 2005-11-20T00:22:21.049196 and 2005-11-21T00:22:21.049196
INFO:root:Query: SDAC | SOHO | CELIAS between 2005-10-11T09:24:50.988240 and 2005-10-12T09:24:50.988240
INFO:root:Query: SDAC | SOHO | COSTEP between 2011-10-28T09:32:45.718804 and 2011-10-29T09:32:45.718804
INFO:root:Query: SDAC | SOHO | EIT between 2007-10-26T17:33:26.757765 and 2007-10-27T17:33:26.757765
INFO:root:Query: SDAC | SOHO | ERNE between 1998-08-22T14:10:21.430625 and 1998-08-23T14:10:21.430625
INFO:root:Random query failed. Trying known query: SDAC | SOHO | ERNE between 2015-12-15T22:43:55.910342 and 2015-12-18T22:43:55.910342
INFO:root:Query: SDAC | SOHO | GOLF between 2011-09-26T09:36:33.797862 and 2011-09-27T09:36:33.797862
INFO:root:Query: SDAC | SOHO | LASCO between 2000-05-12T13:38:59.549141 and 2000-05-13T13:38:59.549141
INFO:root:Query: SDAC | SOHO | SUMER between 2014-06-22T12:47:03.044768 and 2014-06-23T12:47:03.044768
INFO:root:Random query failed. Trying known query: SDAC | SOHO | SUMER between 1996-08-29T00:53:33.446269 and 1996-09-01T00:53:33.446269
INFO:root:Query: SDAC | SOHO | SWAN between 2012-11-11T02:43:46.680994 and 2012-11-12T02:43:46.680994
INFO:root:Query: SDAC | SOHO | UVCS between 2018-07-26T02:04:57.353967 and 2018-07-27T02:04:57.353967
INFO:root:Random query failed. Trying known query: SDAC | SOHO | UVCS between 2001-09-14T12:14:55.595219 and 2001-09-17T12:14:55.595219
INFO:root:Query: SDAC | SOHO | VIRGO between 2004-10-09T02:54:16.928585 and 2004-10-10T02:54:16.928585
INFO:root:Query: SDAC | TRACE | TRACE between 1996-07-08T21:07:28.746730 and 1996-07-09T21:07:28.746730
INFO:root:Random query failed. Trying known query: SDAC | TRACE | TRACE between 2009-05-02T02:28:36.183641 and 2009-05-05T02:28:36.183641
INFO:root:Query: SDAC | VAULT | VAULT-1999 between 1999-05-07T00:00:00 and 1999-05-08T00:00:00
INFO:root:Query: SDAC | VAULT | VAULT-2002 between 2002-06-14T00:00:00 and 2002-06-15T00:00:00
INFO:root:Query: SDAC | VAULT | VAULT-2014 between 2014-09-30T00:00:00 and 2014-10-01T00:00:00
INFO:root:Query: SFO | SFO | CFTD1 between 2010-09-02T03:55:17.974609 and 2010-09-03T03:55:17.974609
INFO:root:Random query failed. No known query for: SFO | SFO | CFTD1
INFO:root:Query: SFO | SFO | CFTD2 between 1994-03-25T17:05:00.824797 and 1994-03-26T17:05:00.824797
INFO:root:Random query failed. No known query for: SFO | SFO | CFTD2
INFO:root:Query: SHA | SOHO | MDI between 1998-01-24T23:27:09.574972 and 1998-01-25T23:27:09.574972
INFO:root:Query: SSC | STEREO_A | IMPACT between 2017-06-20T22:02:12.956589 and 2017-06-21T22:02:12.956589
INFO:root:Query: SSC | STEREO_A | PLASTIC between 2009-02-09T20:38:27.953892 and 2009-02-10T20:38:27.953892
INFO:root:Query: SSC | STEREO_A | SECCHI between 2011-04-30T01:13:32.903878 and 2011-05-01T01:13:32.903878
INFO:root:Query: SSC | STEREO_A | SWAVES between 2007-03-21T09:02:30.996750 and 2007-03-22T09:02:30.996750
INFO:root:Query: SSC | STEREO_B | IMPACT between 2009-12-29T13:18:06.556844 and 2009-12-30T13:18:06.556844
INFO:root:Query: SSC | STEREO_B | PLASTIC between 2011-08-13T19:57:52.768948 and 2011-08-14T19:57:52.768948
INFO:root:Query: SSC | STEREO_B | SECCHI between 2012-07-18T18:58:52.827128 and 2012-07-19T18:58:52.827128
INFO:root:Query: SSC | STEREO_B | SWAVES between 2017-04-15T10:33:24.359930 and 2017-04-16T10:33:24.359930
INFO:root:Random query failed. Trying known query: SSC | STEREO_B | SWAVES between 2012-07-03T12:00:41.251319 and 2012-07-06T12:00:41.251319
